"date","mkt_rf","smb","hml","rmw","cma","rf"
"1968-07-31",-0.0268821508,-0.0134156358,0.0552671888,-0.0303944287,0.0370694888,0.0047706773
"1968-08-31",0.0133348458,0.0228029354,0.0097978153,-0.0063116609,0.0035617317,0.0041481036
"1968-09-30",0.0409917982,0.0266877680,0.0026263577,-0.0189713084,0.0089034230,0.0042585106
"1968-10-31",0.0040968062,-0.0043557691,0.0287573229,-0.0133388517,0.0286617545,0.0043288241
"1968-11-30",0.0544826245,0.0230067822,-0.0085061888,0.0038615027,-0.0239823054,0.0042585106
"1968-12-31",-0.0391816186,0.0374862562,0.0005584526,-0.0178827079,0.0174893456,0.0043288241
"1969-01-31",-0.0125740366,-0.0047583244,0.0172749028,-0.0157282820,0.0139287923,0.0052933269
"1969-02-28",-0.0583030342,-0.0429597507,0.0089725464,0.0236301848,0.0068989138,0.0046903572
"1969-03-31",0.0267621884,-0.0045712774,-0.0036784293,-0.0123617716,-0.0019404431,0.0046100649
"1969-04-30",0.0144162325,-0.0075069007,0.0003213472,0.0025675355,0.0002767058,0.0052631458
"1969-05-31",-0.0007002654,-0.0018295285,0.0044696770,-0.0082942098,0.0132516796,0.0048411252
"1969-06-30",-0.0721376244,-0.0585080622,-0.0109152877,0.0461511792,-0.0158382514,0.0050521144
"1969-07-31",-0.0697730490,-0.0354365373,0.0138669104,0.0144390464,0.0200901493,0.0052631458
"1969-08-31",0.0469460056,0.0053478884,-0.0368879296,0.0121352293,-0.0386769178,0.0050521144
"1969-09-30",-0.0291250113,0.0136471273,-0.0327866882,0.0354281327,-0.0091424775,0.0063189360
"1969-10-31",0.0505133538,0.0368549187,-0.0295275876,0.0003768504,-0.0190864550,0.0059971340
"1969-11-30",-0.0377597113,-0.0242678059,-0.0126789917,0.0141772891,0.0025575772,0.0051424850
"1969-12-31",-0.0263230029,-0.0371159147,-0.0309672837,0.0251116789,-0.0219154814,0.0063994647
"1970-01-31",-0.0800160226,0.0332668979,0.0328371728,-0.0186830496,0.0419865480,0.0061076935
"1970-02-28",0.0515642962,-0.0228176394,0.0358254337,-0.0229495587,0.0282174353,0.0060975422
"1970-03-31",-0.0104605876,-0.0239751976,0.0441169465,-0.0086876171,0.0447194209,0.0056853352
"1970-04-30",-0.1093686381,-0.0699620097,0.0752006245,-0.0069637672,0.0686627348,0.0050722387
"1970-05-31",-0.0690022265,-0.0449079160,0.0318729862,-0.0138250946,0.0354446907,0.0052631458
"1970-06-30",-0.0577141294,-0.0225613309,0.0061962798,0.0028031693,0.0282387822,0.0057356427
"1970-07-31",0.0687379103,-0.0066394479,0.0082168421,-0.0005715609,0.0169993891,0.0052933269
"1970-08-31",0.0448340195,0.0146400084,0.0093757047,0.0054560027,-0.0021821205,0.0052631458
"1970-09-30",0.0419681019,0.0822992867,-0.0502724857,0.0024281843,-0.0542046763,0.0052631458
"1970-10-31",-0.0225591709,-0.0456676038,0.0029769007,0.0195413369,0.0243358719,0.0046302014
"1970-11-30",0.0460475938,-0.0382771211,0.0148401511,0.0169913765,0.0154659533,0.0046100649
"1970-12-31",0.0571959972,0.0279795617,0.0084928876,0.0020340335,0.0013276030,0.0041883497
"1971-01-31",0.0482449102,0.0721953973,0.0130470601,-0.0199923580,-0.0020776257,0.0038068668
"1971-02-28",0.0140281033,0.0202947981,-0.0127785240,0.0063585432,-0.0076608722,0.0032349467
"1971-03-31",0.0414883460,0.0203271128,-0.0375567763,0.0189355155,-0.0252320060,0.0029942796
"1971-04-30",0.0314430391,-0.0035501326,0.0067616249,-0.0155432752,0.0069730194,0.0027335519
"1971-05-31",-0.0399530778,-0.0119622923,-0.0151175643,0.0155854499,0.0026736677,0.0030042788
"1971-06-30",-0.0000804767,-0.0148803794,-0.0199427208,0.0155809663,-0.0178888165,0.0037466835
"1971-07-31",-0.0451527786,-0.0154388279,0.0013826352,0.0055887909,0.0163989807,0.0039975901
"1971-08-31",0.0349129182,-0.0013271808,0.0261796975,-0.0033574003,0.0254161450,0.0046302014
"1971-09-30",-0.0084238853,0.0023723929,-0.0289207696,0.0254484089,-0.0151224680,0.0035760755
"1971-10-31",-0.0439589653,-0.0174061932,-0.0047137715,0.0156939150,-0.0133862171,0.0035760755
"1971-11-30",-0.0046415685,-0.0291151993,-0.0166058845,0.0247429682,-0.0035293333,0.0037868118
"1971-12-31",0.0869117870,0.0305528657,-0.0048473250,-0.0040459335,-0.0170607197,0.0037466835
"1972-01-31",0.0248340997,0.0619967038,0.0190039043,-0.0134983517,0.0029281665,0.0029441197
"1972-02-29",0.0287755722,0.0094078287,-0.0263479775,0.0160762843,-0.0052523762,0.0024027380
"1972-03-31",0.0062294797,-0.0051606846,-0.0170212134,0.0155387007,-0.0018316297,0.0026433291
"1972-04-30",0.0026044928,0.0019606499,0.0018661449,-0.0059058250,-0.0091912883,0.0028037271
"1972-05-31",0.0125719499,-0.0311064768,-0.0268093765,0.0230904818,-0.0183951767,0.0030845318
"1972-06-30",-0.0241813615,-0.0033211441,-0.0259030395,0.0177228954,-0.0032116173,0.0028639073
"1972-07-31",-0.0079578695,-0.0282427867,0.0083534115,0.0102292382,-0.0055182934,0.0032048687
"1972-08-31",0.0327462067,-0.0337853538,0.0471567600,-0.0201683521,0.0291718423,0.0027636463
"1972-09-30",-0.0110787463,-0.0226687219,0.0044385414,0.0174164722,-0.0202492868,0.0034054966
"1972-10-31",0.0050039601,-0.0255389890,0.0128984100,-0.0008250008,-0.0005196947,0.0039674934
"1972-11-30",0.0453820327,-0.0053558631,0.0475513264,-0.0179020435,0.0330793309,0.0038068668
"1972-12-31",0.0068834030,-0.0178989589,-0.0226984552,0.0262926301,-0.0220039081,0.0038068478
"1973-01-31",-0.0326477046,-0.0289710428,0.0281199377,0.0037462131,0.0098867249,0.0044192733
"1973-02-28",-0.0481319020,-0.0422578609,0.0187490341,-0.0044317413,0.0006323056,0.0041882867
"1973-03-31",-0.0131542637,-0.0229540024,0.0272014800,-0.0100982956,0.0063676461,0.0046302014
"1973-04-30",-0.0565112250,-0.0319030195,0.0617548363,-0.0171763570,0.0287334234,0.0052128641
"1973-05-31",-0.0294046465,-0.0618524165,0.0017229049,0.0201409487,-0.0174123454,0.0050722387
"1973-06-30",-0.0153744367,-0.0259760929,0.0137597692,-0.0030414719,0.0027985076,0.0050521144
"1973-07-31",0.0499311582,0.0682725020,-0.0478531021,-0.0010716011,-0.0305558360,0.0063189360
"1973-08-31",-0.0379892263,-0.0179061051,0.0111617860,-0.0134529530,0.0116155602,0.0069228179
"1973-09-30",0.0473666925,0.0335569097,0.0213520393,-0.0218313076,0.0173737655,0.0068622069
"1973-10-31",-0.0105883324,-0.0025396811,0.0174298707,-0.0199782022,0.0260548474,0.0064598741
"1973-11-30",-0.1272886901,-0.0821166767,0.0487710809,-0.0320840898,0.0182038730,0.0054742194
"1973-12-31",0.0062579179,-0.0456270433,0.0396361183,-0.0274662862,0.0215040584,0.0064194934
"1974-01-31",-0.0015901951,0.1025128527,0.0575721144,-0.0282012081,0.0434745747,0.0061781443
"1974-02-28",-0.0044109782,0.0013927707,0.0248753889,-0.0189667916,0.0258523826,0.0059064620
"1974-03-31",-0.0283501003,0.0267018845,-0.0018664458,0.0300056068,0.0033471643,0.0054742194
"1974-04-30",-0.0526038386,-0.0062717481,0.0106044710,0.0297589400,0.0193202171,0.0075872782
"1974-05-31",-0.0461779568,-0.0336635180,-0.0215538363,0.0549074954,-0.0003016123,0.0075067642
"1974-06-30",-0.0282885898,-0.0014413893,0.0065078907,0.0062808850,0.0312626496,0.0060171308
"1974-07-31",-0.0802424981,0.0201852103,0.0549467719,-0.0336357256,0.0489354290,0.0070637049
"1974-08-31",-0.0930490527,0.0017973988,0.0267544254,-0.0030176602,0.0269767018,0.0059568703
"1974-09-30",-0.1170782120,0.0133898789,0.0605037434,-0.0455904485,0.0650706049,0.0080304731
"1974-10-31",0.1608051447,-0.0625350484,-0.0866440887,-0.0003589953,-0.0256776523,0.0050722641
"1974-11-30",-0.0450062867,-0.0151268130,-0.0030906219,-0.0348890472,0.0301595211,0.0054138735
"1974-12-31",-0.0341796943,-0.0453601457,-0.0003519708,-0.0071785815,0.0354288580,0.0069529169
"1975-01-31",0.1330727943,0.1112093901,0.0715065140,-0.0064914531,-0.0086948863,0.0057356427
"1975-02-28",0.0555346716,-0.0068921345,-0.0430639440,0.0111769167,-0.0207832709,0.0043790577
"1975-03-31",0.0263432531,0.0382322757,0.0238620096,0.0113076584,-0.0117034021,0.0042083896
"1975-04-30",0.0421232039,-0.0063925460,-0.0107209182,0.0133134290,-0.0131784900,0.0044092523
"1975-05-31",0.0517008503,0.0278455331,-0.0369097006,-0.0101349561,-0.0046640574,0.0044192733
"1975-06-30",0.0481153339,0.0121798921,0.0125260380,-0.0245399190,0.0098125226,0.0039975901
"1975-07-31",-0.0655827596,0.0362680477,0.0182338022,0.0043752128,0.0129510103,0.0048511968
"1975-08-31",-0.0282468510,-0.0285410457,-0.0085860802,0.0107972259,-0.0094944234,0.0048411252
"1975-09-30",-0.0424475584,-0.0014697315,0.0025404172,0.0059635102,0.0052773814,0.0052631458
"1975-10-31",0.0528152322,-0.0407131360,0.0030381178,-0.0041415359,0.0216923835,0.0055345973
"1975-11-30",0.0265741800,-0.0108109701,0.0192485451,-0.0058165346,0.0167651885,0.0041882867
"1975-12-31",-0.0162510527,-0.0002013018,0.0182807403,-0.0012390856,0.0055488588,0.0048511968
"1976-01-31",0.1214035384,0.0567964464,0.0762976267,-0.0155423230,0.0218879339,0.0046301782
"1976-02-29",0.0034334309,0.0778643880,0.0558866720,-0.0234582936,0.0373093998,0.0034255461
"1976-03-31",0.0230347824,-0.0134052527,-0.0000130213,-0.0045251764,0.0108876878,0.0039173204
"1976-04-30",-0.0147665860,0.0014261679,-0.0005812742,0.0045862525,-0.0111592574,0.0042084106
"1976-05-31",-0.0138227761,-0.0113985391,-0.0129036440,0.0254794373,-0.0145284860,0.0038068668
"1976-06-30",0.0403868555,-0.0108923155,0.0067956478,-0.0061110005,0.0095109729,0.0044092523
"1976-07-31",-0.0107483721,0.0059665341,0.0169009838,-0.0109625406,0.0025816160,0.0046301782
"1976-08-31",-0.0056044277,-0.0213509718,0.0081168275,-0.0044986008,-0.0062030300,0.0041883497
"1976-09-30",0.0205572533,0.0016395449,-0.0035249258,0.0095219646,-0.0108782588,0.0044192733
"1976-10-31",-0.0242392918,0.0006840249,-0.0013351407,-0.0023306150,-0.0036306566,0.0039975901
"1976-11-30",0.0038220079,0.0263292903,0.0154586259,-0.0138584785,0.0008617562,0.0040076091
"1976-12-31",0.0565814249,0.0341810160,0.0207424163,-0.0062053234,0.0216004100,0.0039674934
"1977-01-31",-0.0400507012,0.0610250206,0.0445649425,-0.0053075726,0.0199330069,0.0035760755
"1977-02-28",-0.0193520760,0.0108066463,0.0053923414,-0.0013183113,-0.0018192700,0.0034255461
"1977-03-31",-0.0135872260,0.0126016557,0.0097231966,-0.0033123546,-0.0009202973,0.0036864841
"1977-04-30",0.0014722115,0.0055520954,0.0345299268,-0.0199275014,0.0109304662,0.0038068668
