,date,mkt_rf,smb,hml,rf,Mom,liq,Unnamed: 2
197509,1975-09-30,-0.0424475584,-0.0024245318,0.0025404172,0.0052631458,-0.0058787587,-0.01888637,
197510,1975-10-31,0.0528152322,-0.0387411202,0.0030381178,0.0055345973,0.010365566,0.09092135,
197511,1975-11-30,0.02657418,-0.0117967433,0.0192485451,0.0041882867,-0.0028612923,0.03603464,
197512,1975-12-31,-0.0162510527,-0.0079381105,0.0182807403,0.0048511968,-0.003447182,-0.00322575,
197601,1976-01-31,0.1214035384,0.0425510157,0.0762976267,0.0046301782,0.018854932,0.01751494,
197602,1976-02-29,0.0034334309,0.0678178196,0.055886672,0.0034255461,0.0149098212,-0.04278389,
197603,1976-03-31,0.0230347824,-0.0119027798,-1.30213e-05,0.0039173204,-0.0087741043,-0.01660943,
197604,1976-04-30,-0.014766586,-0.0001636358,-0.0005812742,0.0042084106,0.001770276,-0.01956703,
197605,1976-05-31,-0.0138227761,-0.0126765596,-0.012903644,0.0038068668,-0.0135562153,-0.04190786,
197606,1976-06-30,0.0403868555,-0.0131621997,0.0067956478,0.0044092523,-0.0070145626,-0.00610714,
197607,1976-07-31,-0.0107483721,0.0027514942,0.0169009838,0.0046301782,-0.0090858222,-0.02750855,
197608,1976-08-31,-0.0056044277,-0.0209508617,0.0081168275,0.0041883497,-0.0075433349,0.0180023,
197609,1976-09-30,0.0205572533,0.0004433871,-0.0035249258,0.0044192733,0.0021823147,-0.01528527,
197610,1976-10-31,-0.0242392918,0.0018917421,-0.0013351407,0.0039975901,-0.0072448686,0.00399457,
197611,1976-11-30,0.0038220079,0.0228539904,0.0154586259,0.0040076091,0.0227948601,-0.02344162,
197612,1976-12-31,0.0565814249,0.0287264674,0.0207424163,0.0039674934,0.0044728981,-0.01253071,
197701,1977-01-31,-0.0400507012,0.0486226665,0.0445649425,0.0035760755,0.0454353285,-0.03090381,
197702,1977-02-28,-0.019352076,0.0107041525,0.0053923414,0.0034255461,-0.0020349614,-0.0102731,
197703,1977-03-31,-0.013587226,0.0094762344,0.0097231966,0.0036864841,0.0045591173,0.01122769,
197704,1977-04-30,0.0014722115,-0.0013560143,0.0345299268,0.0038068668,0.036167046,-0.02971101,
197705,1977-05-31,-0.0145420387,0.0121272324,0.008313042,0.0037868118,0.0192417344,0.01743986,
197706,1977-06-30,0.0471490499,0.0198186703,-0.0052195561,0.0039674934,0.0133601247,0.0208141,
197707,1977-07-31,-0.0170989099,0.0208671465,-0.0070158225,0.0041882867,-0.0017405559,0.0011137,
197708,1977-08-31,-0.0176543698,0.0159572876,-0.0282817741,0.0043791455,-0.018382316,0.03117883,
197709,1977-09-30,-0.0028855261,0.0148688415,-0.0027291313,0.0044192733,0.0257888257,0.01221344,
197710,1977-10-31,-0.0436612668,0.0122151324,0.0161884916,0.0048411252,-0.0071456375,-0.01137042,
197711,1977-11-30,0.0397290528,0.0352108052,0.0023493656,0.0050521144,0.0180972813,0.00429908,
197712,1977-12-31,0.0025237024,0.0132319732,-0.0037463898,0.0048411252,0.0194122455,-0.00563987,
197801,1978-01-31,-0.0601504908,0.0233954924,0.0344756594,0.0048411252,-0.0167212298,0.00650995,
197802,1978-02-28,-0.0140587459,0.0362626267,0.007601134,0.004569863,0.0156751417,0.00136091,
197803,1978-03-31,0.0282455282,0.033675968,0.0117236608,0.0052933269,0.0126340346,0.01633719,
197804,1978-04-30,0.0784581723,0.0032656647,-0.0325739511,0.0054138735,8.9929e-05,0.03212413,
197805,1978-05-31,0.0171408126,0.0436024756,-0.0062651525,0.0050722387,0.0211483987,0.01593199,
197806,1978-06-30,-0.0169766414,0.0174028408,0.0061619941,0.0052933269,0.0229586708,0.00834925,
197807,1978-07-31,0.0509001383,0.0031295003,-0.0094927219,0.0056149211,0.0425891027,0.03180526,
197808,1978-08-31,0.0376494507,0.0490986796,-0.0055564147,0.0055345973,0.0257279091,-0.00140559,
197809,1978-09-30,-0.0145544053,-0.0046948405,0.0186309901,0.006218293,-0.0412125565,-0.02595187,
