"date","mkt_rf","smb","hml","rf","Mom"
"1932-06-30",-0.0058222961,-0.0124811038,0.0563068435,0.0002600325,-0.0807528276
"1932-07-31",0.3384712334,-0.0348519967,0.2758083937,0.0002400276,-0.2518529961
"1932-08-31",0.3754118978,0.0811508208,0.2509690524,0.0002700351,-0.2684251692
"1932-09-30",-0.0290502308,-0.0399334172,-0.0572273332,0.0002500300,-0.0045668389
"1932-10-31",-0.1322673052,-0.0479925971,-0.1066294133,0.0002500300,-0.0083988735
"1932-11-30",-0.0594393192,0.0113718293,-0.1303468527,0.0002400276,-0.0673768020
"1932-12-31",0.0441616853,-0.0828490015,-0.0733035165,0.0000000000,0.0180980530
"1933-01-31",0.0125077011,0.0035302028,0.0653080079,0.0000000000,-0.0188858980
"1933-02-28",-0.1539553031,-0.0382549814,-0.0285559046,-0.0002199769,-0.0161540512
"1933-03-31",0.0319305046,0.0355272956,0.0821879686,0.0003600612,0.0271736657
"1933-04-30",0.3889388983,0.0268017701,0.1358191414,0.0009604417,-0.0215500934
"1933-05-31",0.2150336234,0.2903039115,0.1419307956,0.0005201300,-0.0460148656
"1933-06-30",0.1293705767,0.0769287980,-0.0051048415,0.0002600325,0.0296581296
"1933-07-31",-0.0951541880,-0.0088645973,0.0554367040,0.0002400276,0.0017059669
"1933-08-31",0.1199556103,-0.0492234049,0.0301529984,0.0002300253,0.0720697008
"1933-09-30",-0.1062649811,-0.0123326126,-0.1222743978,0.0002400276,-0.0436002847
"1933-10-31",-0.0834572788,-0.0109917638,-0.0781085631,0.0000000000,-0.0470396309
"1933-11-30",0.0997116309,-0.0614733401,0.0246472892,0.0002400276,0.0217830972
"1933-12-31",0.0181041859,0.0037327661,-0.0165418313,0.0002500300,0.0370139641
"1934-01-31",0.1266093232,0.1098208139,0.1432407737,0.0005201300,-0.0478692448
"1934-02-28",-0.0247813925,0.0533183143,0.0224034570,0.0002200231,0.0072951572
"1934-03-31",0.0011855953,0.0240707372,-0.0229295488,0.0002600325,0.0032814944
"1934-04-30",-0.0178200196,0.0287186234,-0.0373697481,0.0000000000,-0.0190611622
